City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Nikolskoye,RU,2021-05-31 02:12:04,59.7035,30.7861,39.78,69,87,2.84
138,Hovd,MN,2021-05-31 02:11:53,48.0056,91.6419,52.77,27,4,4.99
139,Maracacume,BR,2021-05-31 02:12:07,-2.0428,-45.9592,73.22,97,12,2.8
140,Salinopolis,BR,2021-05-31 02:12:08,-0.6136,-47.3561,79.09,86,8,9.1
141,Sao Filipe,CV,2021-05-31 02:12:10,14.8961,-24.4956,72.41,83,52,6.93
142,Vilhena,BR,2021-05-31 02:12:11,-12.7406,-60.1458,69.1,58,89,3.24
143,Chuy,UY,2021-05-31 02:12:12,-33.6971,-53.4616,42.19,75,3,5.82
144,Iqaluit,CA,2021-05-31 02:12:13,63.7506,-68.5145,36.7,91,100,5.01
145,Tiznit,MA,2021-05-31 02:12:15,29.5833,-9.5,65.62,74,100,2.35
146,Luanda,AO,2021-05-31 02:12:05,-8.8368,13.2343,72.54,91,0,7.29
147,Pachperwa,IN,2021-05-31 02:12:17,27.5167,82.65,86.36,61,5,1.9
148,Peleduy,RU,2021-05-31 02:12:19,59.6289,112.7406,43.2,93,100,6.89
149,Vila Velha,BR,2021-05-31 02:12:20,-20.3297,-40.2925,75.94,87,20,4.0
150,Victoria,HK,2021-05-31 02:08:15,22.2855,114.1577,88.97,88,100,1.01
151,Shelburne,CA,2021-05-31 02:12:22,44.0787,-80.2041,51.57,67,0,1.05
152,Ca Mau,VN,2021-05-31 02:12:24,9.1769,105.15,88.25,64,5,6.49
153,Kahului,US,2021-05-31 02:12:25,20.8947,-156.47,83.97,69,40,11.5
154,Saint George,US,2021-05-31 02:09:16,37.1041,-113.5841,91.87,12,1,4.0
155,Ibra,OM,2021-05-31 02:12:27,22.6906,58.5334,81.95,47,100,1.1
156,Guerrero Negro,MX,2021-05-31 02:12:29,27.9769,-114.0611,61.7,73,0,17.0
157,Los Llanos De Aridane,ES,2021-05-31 02:12:30,28.6585,-17.9182,64.15,81,90,14.34
158,Ewa Beach,US,2021-05-31 02:12:31,21.3156,-158.0072,82.69,68,90,11.5
159,College,US,2021-05-31 02:09:41,64.8569,-147.8028,69.48,35,75,0.0
160,Sitka,US,2021-05-31 02:12:34,57.0531,-135.33,55.29,71,90,5.75
161,Kihei,US,2021-05-31 02:12:35,20.785,-156.4656,83.97,69,40,5.95
162,Longyearbyen,SJ,2021-05-31 02:12:36,78.2186,15.6401,33.64,75,90,0.0
163,Shadegan,IR,2021-05-31 02:12:37,30.6497,48.6647,84.15,12,0,11.01
164,Songwa,TZ,2021-05-31 02:12:39,-3.5167,33.5167,67.71,63,88,11.21
165,Shimanovsk,RU,2021-05-31 02:12:40,52.0,127.7,62.35,61,78,9.22
166,Yasnyy,RU,2021-05-31 02:12:41,51.0333,59.8742,67.82,66,0,9.73
167,Powell River,CA,2021-05-31 02:12:43,49.8496,-124.5361,63.34,81,84,4.41
168,Savannah Bight,HN,2021-05-31 02:12:44,16.45,-85.85,82.0,83,35,22.73
169,Freeport,US,2021-05-31 02:11:08,40.6576,-73.5832,51.26,95,90,1.99
170,Vung Tau,VN,2021-05-31 02:12:46,10.346,107.0843,84.7,75,16,10.04
171,Valparaiso,CL,2021-05-31 02:11:19,-33.0393,-71.6273,54.52,64,72,13.51
172,Avarua,CK,2021-05-31 02:12:49,-21.2078,-159.775,78.85,57,75,8.05
173,Saint-Philippe,RE,2021-05-31 02:12:50,-21.3585,55.7679,69.39,82,2,6.02
174,Lyngseidet,NO,2021-05-31 02:12:51,69.5763,20.2189,43.47,90,100,7.0
175,Nanortalik,GL,2021-05-31 02:12:53,60.1432,-45.2371,36.19,89,6,17.74
176,Odweyne,SO,2021-05-31 02:12:55,9.4092,45.064,71.98,58,30,7.29
177,Portland,US,2021-05-31 02:11:23,45.5234,-122.6762,82.98,36,20,3.0
178,Kashin,RU,2021-05-31 02:12:57,57.3592,37.6081,35.94,77,50,7.27
179,Ereymentau,KZ,2021-05-31 02:12:58,51.6199,73.1033,71.69,39,100,12.01
