City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
479,Chalus,IR,71.06,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
481,Colares,PT,64.45,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
482,Samfya,ZM,62.83,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
484,Mata,PT,57.92,clear sky,40.683,-7.4592,Hostel EntryFik
485,Norden,DE,60.94,overcast clouds,53.6,7.2,Stadthotel Restaurant Smutje
487,Richards Bay,ZA,61.66,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
489,Hasaki,JP,67.17,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
492,Saint-Paul,RE,73.99,light rain,-21.0096,55.2707,Boucan Canot
496,Nakonde,ZM,56.32,broken clouds,-9.3421,32.745,Masahani Inn Hotel
497,Falkenberg,SE,62.94,broken clouds,56.9055,12.4912,Falkenberg Strandbad
501,Mutsu,JP,62.92,overcast clouds,41.2894,141.2169,Mutsu Park Hotel
502,Tumen,CN,56.19,scattered clouds,42.9661,129.8425,Friendship Hotel
506,Anchorage,US,70.21,clear sky,61.2181,-149.9003,Hotel Captain Cook
508,Chengdu,CN,66.09,overcast clouds,30.6667,104.0667,Crowne Plaza Chengdu City Center
510,Athabasca,CA,67.69,light rain,54.7169,-113.2854,Athabasca Lodge Motel
512,Velikiy Ustyug,RU,60.44,scattered clouds,60.7644,46.3106,Dvina
515,Gornji Milanovac,RS,67.19,clear sky,44.0333,20.45,Hotel Park GM
516,Moscow,RU,60.39,clear sky,55.7522,37.6156,"The Ritz-Carlton, Moscow"
519,Sept-Iles,CA,62.06,fog,50.2001,-66.3821,Comfort Inn
523,San Jeronimo,PE,59.13,scattered clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
532,Taunggyi,MM,63.93,overcast clouds,20.7833,97.0333,True Treasure Hotel
535,Darnah,LY,69.55,clear sky,32.767,22.6367,فندق الفردوس
537,Beian,NO,55.92,fog,63.6559,9.5683,"Fjord-Fishing AS, Property & Housing Co."
540,Iwaki,JP,69.03,overcast clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
541,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
543,Sabaudia,IT,71.76,broken clouds,41.3003,13.0282,Oasi di Kufra
545,Simao,CN,64.54,few clouds,22.7886,100.9748,Changyu Hotel
547,Kroya,ID,72.19,clear sky,-7.6331,109.2461,RUSTANTO Fam
549,Tottori,JP,68.07,clear sky,35.5,134.2333,Hotel Monarque Tottori
550,Kijang,KR,67.73,few clouds,35.2442,129.2139,Samyang Beach Villa
551,Pombia,IT,67.71,clear sky,45.653,8.6336,Albergo Fontana
552,Kisangani,CD,73.42,overcast clouds,0.5167,25.2,Grand Ramela Hotel
557,Ngunguru,NZ,60.17,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
558,Makokou,GA,70.47,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
561,Vestnes,NO,63.97,broken clouds,62.6264,7.0884,Vestheim youth center
565,Vesoul,FR,60.49,overcast clouds,47.5833,5.8333,Les Gourmandises Bio
569,Sandnessjoen,NO,58.57,clear sky,66.0217,12.6316,Syv Søstre Apartments
577,Havre-Saint-Pierre,CA,59.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
578,Saint-Pierre,RE,73.56,light rain,-21.3393,55.4781,Lindsey Hôtel
579,Margate,GB,62.04,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
580,Ambanja,MG,70.61,light rain,-13.6833,48.45,Hotel Salama and Fast Food
589,Santiago Del Estero,AR,67.87,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
592,Flin Flon,CA,58.84,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
595,Tarquinia,IT,69.42,broken clouds,42.2482,11.7553,Hotel Villa Tirreno
596,Innisfail,AU,66.76,overcast clouds,-17.5333,146.0333,Moondarra Motel
599,Vao,NC,71.22,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
600,Paita,PE,73.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
601,Salta,AR,70.09,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
602,Nizhnyaya Tavda,RU,56.37,broken clouds,57.6731,66.1725,Dom
605,Taltal,CL,61.03,scattered clouds,-25.4,-70.4833,Residencial Karime
613,Bilibino,RU,64.56,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
615,Moron,AR,60.55,scattered clouds,-34.6534,-58.6198,Hotel Morón
620,Jieznas,LT,58.59,broken clouds,54.6,24.1667,Ustrone
622,Villa Bruzual,VE,73.89,overcast clouds,9.3328,-69.1208,Edificio Guarente
626,Dongzhen,CN,71.87,clear sky,22.3797,110.9389,茂名中汇时尚酒店
